ent_num,sdn_name,sdn_type,programs,remarks,title,call_sign,vessel_type,tonnage,gross_registered_tonnage,flag,vessel_owner
51596,VENTURE,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E7423,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9832547; MMSI 352003251; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51597,VALOUR,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E6071,Products Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9832559; MMSI 352003207; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51600,SAMSUN,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E2327,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9436006; MMSI 352002486; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51603,SIVAS,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E2642,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9419137; MMSI 352002488; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51605,ORIENT VISION,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E5020,Bulk Carrier,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9673202; MMSI 352002707; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51609,DEYNA,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E5822,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9299903; MMSI 352003718; Linked To: SINO SHIP MANAGEMENT COMPANY LIMITED."
51610,ORIENT HARMONY,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E5021,Bulk Carrier,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9620633; MMSI 352002708; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51611,SIRIUS 1,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E5824,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9285847; MMSI 352003720; Linked To: SINO SHIP MANAGEMENT COMPANY LIMITED."
51612,TURACO,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E4698,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9247780; MMSI 352002942; Linked To: SINO SHIP MANAGEMENT COMPANY LIMITED."
51614,GAZPROMNEFT ZUID EAST,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,UCSK,Chemical/Oil Tanker,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9537109; MMSI 273353580; Linked To: GAZPROMNEFT MARINE BUNKER LIMITED LIABILITY COMPANY."
